feature,feature,type,p_value,relevant
F_x__binned_entropy__max_bins_10,F_x__binned_entropy__max_bins_10,real,8.201099342005716e-09,True
F_x__approximate_entropy__m_2__r_0.1,F_x__approximate_entropy__m_2__r_0.1,real,8.472735316396206e-09,True
"F_x__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""rvalue""","F_x__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""rvalue""",real,1.0889161419357346e-08,True
"F_x__fft_coefficient__coeff_73__attr_""angle""","F_x__fft_coefficient__coeff_73__attr_""angle""",real,3.934279771915072e-08,True
"F_x__agg_autocorrelation__f_agg_""var""__maxlag_40","F_x__agg_autocorrelation__f_agg_""var""__maxlag_40",real,4.740374448105356e-08,True
"F_x__agg_linear_trend__f_agg_""min""__chunk_len_50__attr_""intercept""","F_x__agg_linear_trend__f_agg_""min""__chunk_len_50__attr_""intercept""",real,6.10370262480289e-08,True
"F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2","F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2",real,6.716086239444583e-08,True
F_x__symmetry_looking__r_0.2,F_x__symmetry_looking__r_0.2,binary,7.254625047702623e-08,True
"F_x__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""rvalue""","F_x__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""rvalue""",real,1.5042150629018896e-07,True
"F_x__fft_coefficient__coeff_93__attr_""angle""","F_x__fft_coefficient__coeff_93__attr_""angle""",real,1.578457887900151e-07,True
"F_x__fft_coefficient__coeff_84__attr_""angle""","F_x__fft_coefficient__coeff_84__attr_""angle""",real,2.546755312315575e-07,True
"F_x__fft_coefficient__coeff_65__attr_""angle""","F_x__fft_coefficient__coeff_65__attr_""angle""",real,3.9703717108399504e-07,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",real,4.22034262705796e-07,True
"F_x__fft_coefficient__coeff_89__attr_""angle""","F_x__fft_coefficient__coeff_89__attr_""angle""",real,4.7639487428321213e-07,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",real,5.357151153208811e-07,True
F_x__ratio_beyond_r_sigma__r_0.5,F_x__ratio_beyond_r_sigma__r_0.5,real,6.868251007124313e-07,True
"F_x__fft_coefficient__coeff_3__attr_""angle""","F_x__fft_coefficient__coeff_3__attr_""angle""",real,7.682413725288548e-07,True
F_x__symmetry_looking__r_0.30000000000000004,F_x__symmetry_looking__r_0.30000000000000004,binary,7.796248498655495e-07,True
"F_x__fft_coefficient__coeff_62__attr_""angle""","F_x__fft_coefficient__coeff_62__attr_""angle""",real,8.163244221254274e-07,True
F_x__autocorrelation__lag_6,F_x__autocorrelation__lag_6,real,1.0183031344600456e-06,True
"F_x__fft_coefficient__coeff_67__attr_""angle""","F_x__fft_coefficient__coeff_67__attr_""angle""",real,1.0930015000555636e-06,True
"F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4","F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4",real,1.2372511743895728e-06,True
"F_x__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""intercept""","F_x__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""intercept""",real,1.3160780005254963e-06,True
"F_x__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""slope""","F_x__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""slope""",real,1.4480374567085973e-06,True
"F_x__fft_coefficient__coeff_87__attr_""angle""","F_x__fft_coefficient__coeff_87__attr_""angle""",real,1.87784059270695e-06,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",real,2.170629522174658e-06,True
"F_x__fft_coefficient__coeff_64__attr_""angle""","F_x__fft_coefficient__coeff_64__attr_""angle""",real,2.6144363767144585e-06,True
"F_x__fft_coefficient__coeff_5__attr_""angle""","F_x__fft_coefficient__coeff_5__attr_""angle""",real,3.354692747788382e-06,True
F_x__last_location_of_minimum,F_x__last_location_of_minimum,real,3.932288106609505e-06,True
